uid,interactive_demo_completion,revisiting_lead_status,demand_source,sign_up_source,has_converted
uuid_1,0,12,Word of Mouth / Direct,website,0
uuid_2,0,12,Other,--,1
uuid_3,0,12,Paid Search,website,0
uuid_4,0,12,Paid Search,website,1
uuid_5,50,25,Word of Mouth / Direct,--,0
uuid_6,0,12,Paid Search,website,0
uuid_7,0,12,Word of Mouth / Direct,website,1
uuid_8,0,12,Paid Search,website,0
uuid_9,0,12,Word of Mouth / Direct,website,0
uuid_10,0,12,Paid Search,--,0
uuid_11,0,12,Paid Search,website,1
uuid_12,0,12,Paid Search,--,0
uuid_13,0,12,Word of Mouth / Direct,website,0
uuid_14,0,12,Other,website,1
uuid_15,0,12,Paid Search,website,1
uuid_16,0,12,Word of Mouth / Direct,website,1
uuid_17,0,12,Paid Search,website,1
uuid_18,0,12,Paid Search,website,0
uuid_19,0,12,Word of Mouth / Direct,website,0
uuid_20,0,12,Word of Mouth / Direct,website,0
uuid_21,0,12,Word of Mouth / Direct,website,0
uuid_22,0,12,Other,website,1
uuid_23,0,12,Paid Search,website,0
uuid_24,0,12,Paid Search,website,1
uuid_25,0,12,Paid Search,website,0
uuid_26,0,12,Paid Search,--,0
uuid_27,0,12,Paid Search,website,0
uuid_28,0,12,Paid Search,--,0
uuid_29,0,12,Paid Search,--,0
uuid_30,0,12,Paid Search,website,0
uuid_31,0,12,Other,website,1
uuid_32,0,12,Paid Search,--,0
uuid_33,0,12,Word of Mouth / Direct,website,1
uuid_34,0,12,Word of Mouth / Direct,website,1
uuid_35,0,12,Paid Search,website,1
uuid_36,0,12,Word of Mouth / Direct,website,1
uuid_37,0,50,Word of Mouth / Direct,--,1
uuid_38,0,12,Paid Search,website,1
uuid_39,0,12,Paid Search,website,0
uuid_40,0,12,Paid Search,website,1
uuid_41,0,12,Word of Mouth / Direct,website,1
uuid_42,0,12,Paid Search,--,0
uuid_43,0,12,Word of Mouth / Direct,website,0
uuid_44,0,12,Other,website,1
uuid_45,0,12,Paid Search,--,0
uuid_46,0,12,Word of Mouth / Direct,website,1
uuid_47,0,12,Paid Search,--,0
uuid_48,0,12,Paid Search,--,0
uuid_49,0,12,Word of Mouth / Direct,website,0
uuid_50,0,12,Paid Search,website,0
uuid_51,0,12,Word of Mouth / Direct,website,1
uuid_52,0,12,Paid Search,--,0
uuid_53,0,12,Paid Search,--,0
uuid_54,0,12,Paid Search,--,0
uuid_55,0,12,Word of Mouth / Direct,website,1
uuid_56,0,12,Paid Search,--,0
uuid_57,0,12,Paid Search,--,0
uuid_58,0,12,Paid Search,--,0
uuid_59,0,12,Paid Search,website,0
uuid_60,0,12,Word of Mouth / Direct,website,1
uuid_61,0,75,Word of Mouth / Direct,--,1
uuid_62,0,12,Paid Search,website,1
uuid_63,0,12,Paid Search,--,0
uuid_64,0,12,Paid Search,--,1
uuid_65,0,12,Paid Search,website,1
uuid_66,0,75,Word of Mouth / Direct,website,1
uuid_67,0,12,Paid Search,--,0
uuid_68,0,12,Paid Search,website,0
uuid_69,0,12,Other,website,1
uuid_70,0,12,Paid Search,website,1
uuid_71,0,12,Paid Search,--,0
uuid_72,0,12,Paid Search,--,0
uuid_73,0,12,Paid Search,--,0
uuid_74,50,25,Paid Search,--,0
uuid_75,0,12,Paid Search,--,0
uuid_76,0,12,Other,website,1
uuid_77,0,12,Word of Mouth / Direct,website,0
uuid_78,50,25,Paid Search,website,0
uuid_79,0,12,Word of Mouth / Direct,website,0
uuid_80,50,12,Word of Mouth / Direct,website,1
uuid_81,0,12,Word of Mouth / Direct,website,1
uuid_82,0,12,Paid Search,website,0
uuid_83,0,12,Paid Search,--,0
uuid_84,50,25,Other,website,0
uuid_85,0,12,Word of Mouth / Direct,website,1
uuid_86,0,12,Paid Search,website,1
uuid_87,0,12,Word of Mouth / Direct,--,0
uuid_88,0,12,Word of Mouth / Direct,website,1
uuid_89,0,12,Word of Mouth / Direct,website,0
uuid_90,0,12,Word of Mouth / Direct,website,0
uuid_91,0,12,Word of Mouth / Direct,website,1
uuid_92,0,12,Word of Mouth / Direct,--,0
uuid_93,0,12,Paid Social,website,0
uuid_94,0,12,Word of Mouth / Direct,website,1
uuid_95,0,50,Paid Social,--,1
uuid_96,0,12,Word of Mouth / Direct,--,0
uuid_97,0,12,Paid Social,website,0
uuid_98,0,12,Word of Mouth / Direct,website,0
uuid_99,0,12,Paid Social,website,0
uuid_100,0,12,Word of Mouth / Direct,website,1
uuid_101,0,12,Word of Mouth / Direct,website,1
uuid_102,0,12,Word of Mouth / Direct,website,1
uuid_103,0,12,Word of Mouth / Direct,website,0
uuid_104,0,12,Word of Mouth / Direct,website,0
uuid_105,0,25,Partners,website,1
uuid_106,0,12,Word of Mouth / Direct,website,1
uuid_107,0,12,Word of Mouth / Direct,website,1
uuid_108,0,12,Other,website,1
uuid_109,0,12,Other,--,1
uuid_110,0,12,Paid Search,website,1
uuid_111,0,50,Other,--,1
uuid_112,50,25,Other,--,1
uuid_113,0,12,Paid Search,website,0
uuid_114,0,12,Word of Mouth / Direct,website,1
uuid_115,0,62,AE Outreach,--,1
uuid_116,0,12,Other,--,1
uuid_117,0,12,Word of Mouth / Direct,website,1
uuid_118,0,12,Word of Mouth / Direct,website,1
uuid_119,0,12,Paid Search,website,1
uuid_120,0,12,Word of Mouth / Direct,website,1
uuid_121,50,12,Other,--,1
uuid_122,0,12,Word of Mouth / Direct,website,0
uuid_123,0,12,Paid Social,--,0
uuid_124,0,12,Word of Mouth / Direct,website,0
uuid_125,0,12,Paid Search,website,1
uuid_126,0,12,Word of Mouth / Direct,website,0
uuid_127,0,25,Word of Mouth / Direct,--,0
uuid_128,0,12,Paid Social,--,0
uuid_129,0,12,Word of Mouth / Direct,website,1
uuid_130,0,12,Paid Search,website,1
uuid_131,0,12,Paid Search,website,1
uuid_132,0,12,Word of Mouth / Direct,website,1
uuid_133,0,12,Word of Mouth / Direct,website,1
uuid_134,0,12,Paid Social,website,1
uuid_135,0,12,Paid Social,--,0
uuid_136,0,12,AE Outreach,website,1
uuid_137,0,12,Word of Mouth / Direct,website,1
uuid_138,0,12,Word of Mouth / Direct,--,1
uuid_139,0,12,Word of Mouth / Direct,website,1
uuid_140,0,12,Paid Search,website,1
uuid_141,0,12,Word of Mouth / Direct,website,1
uuid_142,50,25,Other,--,1
uuid_143,50,25,Other,website,0
uuid_144,0,12,Word of Mouth / Direct,website,1
uuid_145,0,12,Word of Mouth / Direct,website,1
uuid_146,0,12,Partners,website,1
uuid_147,0,12,Word of Mouth / Direct,website,0
uuid_148,0,12,Word of Mouth / Direct,--,0
uuid_149,0,12,Word of Mouth / Direct,website,1
uuid_150,0,12,Paid Social,website,1
uuid_151,0,12,Word of Mouth / Direct,website,1
uuid_152,0,12,Paid Search,website,1
uuid_153,0,12,Word of Mouth / Direct,website,1
uuid_154,0,12,Paid Search,website,1
uuid_155,0,12,Word of Mouth / Direct,website,1
uuid_156,0,12,Paid Social,website,1
uuid_157,0,12,Word of Mouth / Direct,website,1
uuid_158,0,12,Paid Social,website,1
uuid_159,0,12,Other,website,1
uuid_160,0,12,Paid Social,website,1
uuid_161,0,12,Paid Social,--,0
uuid_162,0,12,Paid Search,website,1
uuid_163,0,12,Paid Social,--,0
uuid_164,0,12,Partners,website,1
uuid_165,0,12,Paid Social,website,0
uuid_166,0,12,Other,website,1
uuid_167,0,12,Word of Mouth / Direct,website,1
uuid_168,0,12,Paid Social,website,1
uuid_169,50,25,Paid Social,website,0
uuid_170,0,12,Paid Social,website,1
uuid_171,0,25,Paid Search,website,1
uuid_172,0,12,Word of Mouth / Direct,website,1
uuid_173,0,12,Word of Mouth / Direct,--,0
uuid_174,0,12,Partners,website,1
uuid_175,0,12,Paid Social,website,1
uuid_176,0,12,Word of Mouth / Direct,website,1
uuid_177,0,12,Paid Search,website,1
uuid_178,0,50,Word of Mouth / Direct,--,1
uuid_179,0,12,Paid Search,website,1
uuid_180,0,12,Paid Social,website,1
uuid_181,0,12,Word of Mouth / Direct,website,1
uuid_182,0,12,Word of Mouth / Direct,website,1
uuid_183,0,12,Word of Mouth / Direct,--,0
uuid_184,0,12,Paid Search,--,0
uuid_185,0,12,Partners,website,1
uuid_186,0,12,Paid Search,website,1
uuid_187,0,25,Word of Mouth / Direct,website,0
uuid_188,0,12,Word of Mouth / Direct,website,1
uuid_189,0,12,Word of Mouth / Direct,website,0
uuid_190,75,50,Word of Mouth / Direct,website,0
uuid_191,0,12,Word of Mouth / Direct,website,0
uuid_192,0,12,Paid Search,website,1
uuid_193,0,12,Word of Mouth / Direct,website,1
uuid_194,0,12,Word of Mouth / Direct,--,1
uuid_195,50,25,Other,website,0
uuid_196,0,12,Paid Search,website,1
uuid_197,0,12,Word of Mouth / Direct,website,0
uuid_198,0,12,Word of Mouth / Direct,website,1
uuid_199,0,12,Word of Mouth / Direct,--,1
uuid_200,0,12,Paid Social,website,0
