uid,interactive_demo_completion,revisiting_lead_status,demand_source,sign_up_source,has_converted
uuid_1,0,0.12,Word of Mouth / Direct,website,0
uuid_2,1,0.12,Other,,1
uuid_3,0,0.12,Paid Search,website,0
uuid_4,1,0.12,Paid Search,website,1
uuid_5,0,0.25,Word of Mouth / Direct,,0
uuid_6,0,0.12,Paid Search,website,0
uuid_7,1,0.12,Word of Mouth / Direct,website,1
uuid_8,0,0.12,Paid Search,website,0
uuid_9,0,0.12,Word of Mouth / Direct,website,0
uuid_10,0,0.12,Paid Search,,0
uuid_11,1,0.12,Paid Search,website,1
uuid_12,0,0.12,Paid Search,,0
uuid_13,0,0.12,Word of Mouth / Direct,website,0
uuid_14,1,0.12,Other,website,1
uuid_15,1,0.12,Paid Search,website,1
uuid_16,1,0.12,Word of Mouth / Direct,website,1
uuid_17,1,0.12,Paid Search,website,1
uuid_18,0,0.12,Paid Search,website,0
uuid_19,0,0.12,Word of Mouth / Direct,website,0
uuid_20,0,0.12,Word of Mouth / Direct,website,0
uuid_21,0,0.12,Word of Mouth / Direct,website,0
uuid_22,1,0.12,Other,website,1
uuid_23,0,0.12,Paid Search,website,0
uuid_24,1,0.12,Paid Search,website,1
uuid_25,0,0.12,Paid Search,website,0
uuid_26,0,0.12,Paid Search,,0
uuid_27,0,0.12,Paid Search,website,0
uuid_28,0,0.12,Paid Search,,0
uuid_29,0,0.12,Paid Search,,0
uuid_30,0,0.12,Paid Search,website,0
uuid_31,1,0.12,Other,website,1
uuid_32,0,0.12,Paid Search,,0
uuid_33,1,0.12,Word of Mouth / Direct,website,1
uuid_34,1,0.12,Word of Mouth / Direct,website,1
uuid_35,1,0.12,Paid Search,website,1
uuid_36,1,0.12,Word of Mouth / Direct,website,1
uuid_37,1,0.5,Word of Mouth / Direct,,1
uuid_38,1,0.12,Paid Search,website,1
uuid_39,0,0.12,Paid Search,website,0
uuid_40,1,0.12,Paid Search,website,1
uuid_41,1,0.12,Word of Mouth / Direct,website,1
uuid_42,0,0.12,Paid Search,,0
uuid_43,0,0.12,Word of Mouth / Direct,website,0
uuid_44,1,0.12,Other,website,1
uuid_45,0,0.12,Paid Search,,0
uuid_46,1,0.12,Word of Mouth / Direct,website,1
uuid_47,0,0.12,Paid Search,,0
uuid_48,0,0.12,Paid Search,,0
uuid_49,0,0.12,Word of Mouth / Direct,website,0
uuid_50,0,0.12,Paid Search,website,0
uuid_51,1,0.12,Word of Mouth / Direct,website,1
uuid_52,0,0.12,Paid Search,,0
uuid_53,0,0.12,Paid Search,,0
uuid_54,0,0.12,Paid Search,,0
uuid_55,1,0.12,Word of Mouth / Direct,website,1
uuid_56,0,0.12,Paid Search,,0
uuid_57,0,0.12,Paid Search,,0
uuid_58,0,0.12,Paid Search,,0
uuid_59,0,0.12,Paid Search,website,0
uuid_60,1,0.12,Word of Mouth / Direct,website,1
uuid_61,1,0.75,Word of Mouth / Direct,,1
uuid_62,1,0.12,Paid Search,website,1
uuid_63,0,0.12,Paid Search,,0
uuid_64,1,0.12,Paid Search,,1
uuid_65,1,0.12,Paid Search,website,1
uuid_66,1,0.75,Word of Mouth / Direct,website,1
uuid_67,0,0.12,Paid Search,,0
uuid_68,0,0.12,Paid Search,website,0
uuid_69,1,0.12,Other,website,1
uuid_70,1,0.12,Paid Search,website,1
uuid_71,0,0.12,Paid Search,,0
uuid_72,0,0.12,Paid Search,,0
uuid_73,0,0.12,Paid Search,,0
uuid_74,0,0.25,Paid Search,,0
uuid_75,0,0.12,Paid Search,,0
uuid_76,1,0.12,Other,website,1
uuid_77,0,0.12,Word of Mouth / Direct,website,0
uuid_78,0,0.25,Paid Search,website,0
uuid_79,0,0.12,Word of Mouth / Direct,website,0
uuid_80,1,0.12,Word of Mouth / Direct,website,1
uuid_81,1,0.12,Word of Mouth / Direct,website,1
uuid_82,0,0.12,Paid Search,website,0
uuid_83,0,0.12,Paid Search,,0
uuid_84,0,0.25,Other,website,0
uuid_85,1,0.12,Word of Mouth / Direct,website,1
uuid_86,1,0.12,Paid Search,website,1
uuid_87,0,0.12,Word of Mouth / Direct,,0
uuid_88,1,0.12,Word of Mouth / Direct,website,1
uuid_89,0,0.12,Word of Mouth / Direct,website,0
uuid_90,0,0.12,Word of Mouth / Direct,website,0
uuid_91,1,0.12,Word of Mouth / Direct,website,1
uuid_92,0,0.12,Word of Mouth / Direct,,0
uuid_93,0,0.12,Paid Social,website,0
uuid_94,1,0.12,Word of Mouth / Direct,website,1
uuid_95,1,0.5,Paid Social,,1
uuid_96,0,0.12,Word of Mouth / Direct,,0
uuid_97,0,0.12,Paid Social,website,0
uuid_98,0,0.12,Word of Mouth / Direct,website,0
uuid_99,0,0.12,Paid Social,website,0
uuid_100,1,0.12,Word of Mouth / Direct,website,1
uuid_101,1,0.12,Word of Mouth / Direct,website,1
uuid_102,1,0.12,Word of Mouth / Direct,website,1
uuid_103,0,0.12,Word of Mouth / Direct,website,0
uuid_104,0,0.12,Word of Mouth / Direct,website,0
uuid_105,1,0.25,Partners,website,1
uuid_106,1,0.12,Word of Mouth / Direct,website,1
uuid_107,1,0.12,Word of Mouth / Direct,website,1
uuid_108,1,0.12,Other,website,1
uuid_109,1,0.12,Other,,1
uuid_110,1,0.12,Paid Search,website,1
uuid_111,1,0.5,Other,,1
uuid_112,1,0.25,Other,,1
uuid_113,0,0.12,Paid Search,website,0
uuid_114,1,0.12,Word of Mouth / Direct,website,1
uuid_115,1,0.62,AE Outreach,,1
uuid_116,1,0.12,Other,,1
uuid_117,1,0.12,Word of Mouth / Direct,website,1
uuid_118,1,0.12,Word of Mouth / Direct,website,1
uuid_119,1,0.12,Paid Search,website,1
uuid_120,1,0.12,Word of Mouth / Direct,website,1
uuid_121,1,0.12,Other,,1
uuid_122,0,0.12,Word of Mouth / Direct,website,0
uuid_123,0,0.12,Paid Social,,0
uuid_124,0,0.12,Word of Mouth / Direct,website,0
uuid_125,1,0.12,Paid Search,website,1
uuid_126,0,0.12,Word of Mouth / Direct,website,0
uuid_127,0,0.25,Word of Mouth / Direct,,0
uuid_128,0,0.12,Paid Social,,0
uuid_129,1,0.12,Word of Mouth / Direct,website,1
uuid_130,1,0.12,Paid Search,website,1
uuid_131,1,0.12,Paid Search,website,1
uuid_132,1,0.12,Word of Mouth / Direct,website,1
uuid_133,1,0.12,Word of Mouth / Direct,website,1
uuid_134,1,0.12,Paid Social,website,1
uuid_135,0,0.12,Paid Social,,0
uuid_136,1,0.12,AE Outreach,website,1
uuid_137,1,0.12,Word of Mouth / Direct,website,1
uuid_138,1,0.12,Word of Mouth / Direct,,1
uuid_139,1,0.12,Word of Mouth / Direct,website,1
uuid_140,1,0.12,Paid Search,website,1
uuid_141,1,0.12,Word of Mouth / Direct,website,1
uuid_142,1,0.25,Other,,1
uuid_143,0,0.25,Other,website,0
uuid_144,1,0.12,Word of Mouth / Direct,website,1
uuid_145,1,0.12,Word of Mouth / Direct,website,1
uuid_146,1,0.12,Partners,website,1
uuid_147,0,0.12,Word of Mouth / Direct,website,0
uuid_148,0,0.12,Word of Mouth / Direct,,0
uuid_149,1,0.12,Word of Mouth / Direct,website,1
uuid_150,1,0.12,Paid Social,website,1
uuid_151,1,0.12,Word of Mouth / Direct,website,1
uuid_152,1,0.12,Paid Search,website,1
uuid_153,1,0.12,Word of Mouth / Direct,website,1
uuid_154,1,0.12,Paid Search,website,1
uuid_155,1,0.12,Word of Mouth / Direct,website,1
uuid_156,1,0.12,Paid Social,website,1
uuid_157,1,0.12,Word of Mouth / Direct,website,1
uuid_158,1,0.12,Paid Social,website,1
uuid_159,1,0.12,Other,website,1
uuid_160,1,0.12,Paid Social,website,1
uuid_161,0,0.12,Paid Social,,0
uuid_162,1,0.12,Paid Search,website,1
uuid_163,0,0.12,Paid Social,,0
uuid_164,1,0.12,Partners,website,1
uuid_165,0,0.12,Paid Social,website,0
uuid_166,1,0.12,Other,website,1
uuid_167,1,0.12,Word of Mouth / Direct,website,1
uuid_168,1,0.12,Paid Social,website,1
uuid_169,0,0.25,Paid Social,website,0
uuid_170,1,0.12,Paid Social,website,1
uuid_171,1,0.25,Paid Search,website,1
uuid_172,1,0.12,Word of Mouth / Direct,website,1
uuid_173,0,0.12,Word of Mouth / Direct,,0
uuid_174,1,0.12,Partners,website,1
uuid_175,1,0.12,Paid Social,website,1
uuid_176,1,0.12,Word of Mouth / Direct,website,1
uuid_177,1,0.12,Paid Search,website,1
uuid_178,1,0.5,Word of Mouth / Direct,,1
